category,datetime,headline,id,image,related,source,summary,url
top news,2024-04-30 16:34:00,Sliding yen stirs fear of China yuan devaluation that could rock global markets,7362473,,,MarketWatch,Speculation about a potential devaluation of the Chinese yuan is intensifying as the Japanese yen falls to its weakest level against the U.S. dollar in decades.,https://www.marketwatch.com/story/sliding-yen-stirs-fear-of-china-yuan-devaluation-that-could-rock-global-markets-7fc0b91c
top news,2024-04-30 16:34:00,BBVA wants to buy Sabadell in what could be a $10 billion-plus acquisition. Here’s why.,7362474,,,MarketWatch,It was a case of déjà vu in Spain on Tuesday as Banco de Sabadell said it had been approached by bigger rival BBVA about a potential merger — more than three years after discussions between the two banks broke down.,https://www.marketwatch.com/story/bbva-wants-to-buy-sabadell-in-what-could-be-a-10-billion-plus-acquisition-heres-why-19377a74
top news,2024-04-30 16:21:17,Shares of two big online education stocks tank more than 10% as students use ChatGPT,7362475,https://image.cnbcfm.com/api/v1/image/106293606-1576182528142gettyimages-98811850.jpeg?v=1714483552&w=1920&h=1080,,CNBC,"Chegg and Coursera both sank 14% in premarket trading Tuesday, a day after issuing disappointing guidance.",https://www.cnbc.com/2024/04/30/online-education-stocks-tank-on-chatgpt-threat.html
top news,2024-04-30 16:18:00,Cocoa price plunges by nearly 30% in just two days as speculators bail out,7362467,,,MarketWatch,Futures contract’s Tuesday decline eases by morning trading hours in New York.,https://www.marketwatch.com/story/cocoa-price-plunges-by-nearly-30-in-just-two-days-as-speculators-bail-out-1850f4f8
top news,2024-04-30 16:12:00,Consumer confidence drops to 21-month low due to worries about food and gas prices,7362468,,,MarketWatch,"Consumer confidence fell in April for the third straight month and touched a 21-month low, a new survey showed, due to the high cost of food and gas and and fresh worries about the jobs market.",https://www.marketwatch.com/story/consumer-confidence-drops-to-21-month-low-due-to-worries-about-food-and-gas-prices-a70d9a8e
top news,2024-04-30 15:51:00,Chicago business-activity index weakens in April to lowest level in 17 months,7362451,,,MarketWatch,Index in negative territory for fifth straight month,https://www.marketwatch.com/story/chicago-business-activity-index-weakens-in-april-to-lowest-level-in-17-months-dce0d91f
top news,2024-04-30 15:27:00,Today is the last day of the stock market’s ‘good’ season. Should you take your profits and run for the summer?,7362421,,,MarketWatch,Stocks generally produce most of their returns during the six months of the year from Nov. 1 to April 30.,https://www.marketwatch.com/story/today-is-the-last-day-of-the-stock-markets-good-season-should-you-take-your-profits-and-run-for-the-summer-77663ed7
top news,2024-04-30 15:08:01,Jim Cramer's top 10 things to watch in the stock market Tuesday,7362425,https://image.cnbcfm.com/api/v1/image/107394493-1711655887116-gettyimages-1209567498-CALIFORNIA_VIRUS.jpeg?v=1711984285&w=1920&h=1080,,CNBC,U.S. stock futures were flat Tuesday as investors await a round of mega-cap corporate earnings.,https://www.cnbc.com/2024/04/30/jim-cramers-top-10-things-to-watch-in-the-stock-market-tuesday.html
top news,2024-04-30 15:07:00,"Home prices hit new all-time high, Case-Shiller says, ‘in the face of economic uncertainty’",7362415,,,MarketWatch,The Case-Shiller 20-city home-price index rose 6.4% year-on-year in February.,https://www.marketwatch.com/story/home-prices-hit-new-all-time-high-case-shiller-says-in-the-face-of-economic-uncertainty-98aa35cc
top news,2024-04-30 14:41:00,Burger King’s parent company to invest $300 million more to modernize restaurants,7362391,,,MarketWatch,Restaurant Brands edged past earnings expectations with its latest results on Tuesday while announcing plans to invest further in Burger King remodels.,https://www.marketwatch.com/story/burger-king-parent-to-invest-300-million-more-in-store-remodels-a488c480
top news,2024-04-30 14:41:00,"Logitech shares jump on surprise guidance, as demand stirs for computer products",7362392,,,MarketWatch,Logitech results have stirred hopes for consumer buying of computer and gaming equipment.,https://www.marketwatch.com/story/logitech-shares-jump-on-surprise-guidance-as-demand-stirs-for-computer-products-6ddfebab
top news,2024-04-30 14:37:00,"Labor costs rise at fastest pace in year and a half, ECI shows, in setback to Fed effort to tame inflation",7362393,,,MarketWatch,"The cost of labor for U.S. companies accelerated in the first quarter  at the fastest pace in a year and a half, complicating the Federal Reserve’s effort to get inflation fully under control",https://www.marketwatch.com/story/employee-costs-rise-at-fastest-pace-in-a-year-and-a-half-1a89ae02
top news,2024-04-30 14:35:00,Coca-Cola’s Q1 results beat top and bottom line estimates boosted by ‘dynamic backdrop’,7362394,,,MarketWatch,"The Coca-Cola Co. reported better-than-expected first-quarter results before market open Tuesday, boosted by what the beverage giant described as “a dynamic backdrop.”",https://www.marketwatch.com/story/coca-colas-q1-results-beat-top-and-bottom-line-estimates-boosted-by-dynamic-backdrop-b0601cd2
top news,2024-04-30 14:30:02,Young Americans' wealth grew by nearly 50% over the last 4 years—it's not just from buying homes,7362395,https://image.cnbcfm.com/api/v1/image/107406605-1714074912797-gettyimages-1318887659-hts116.jpeg?v=1714074926&w=1920&h=1080,,CNBC,Millennials in particular have seen significant wealth gains across asset classes over the last four years.,https://www.cnbc.com/2024/04/30/young-americans-wealth-grew-by-nearly-50-percent-over-the-last-four-years.html
top news,2024-04-30 14:22:00,"Eli Lilly’s stock jumps as first-quarter profit tops estimates amid strong sales of Mounjaro, Zepbound",7362386,,,MarketWatch,Eli Lilly shares popped early Tuesday after the drugmaker reported first-quarter profit that topped estimates amid strong demand for diabetes and weight-loss drugs.,https://www.marketwatch.com/story/eli-lillys-stock-jumps-as-first-quarter-profit-tops-estimates-amid-strong-sales-of-mounjaro-zepbound-08da33a1
top news,2024-04-30 14:16:00,Goldman Sachs in talks with Barclays to take over GM credit card business: WSJ,7362387,,,MarketWatch,"General Motors credit-card program has $2B in outstanding balances, with deal possible this summer",https://www.marketwatch.com/story/goldman-sachs-in-talks-with-barclays-to-take-over-gm-credit-card-business-wsj-c5c8b9b2
top news,2024-04-30 14:11:00,McDonald’s stock drops premarket after first profit miss in more than 2 years,7362384,,,MarketWatch,"McDonald’s said Tuesday its value message resonated with customers, but its shares were headed lower premarket after the company came up shy on profit for the latest quarter.",https://www.marketwatch.com/story/mcdonalds-stock-drops-as-profit-comes-up-short-85d55390
top news,2024-04-30 13:55:00,"3M’s stock surges toward a 14-month high after profit, sales beat expectations",7362381,,,MarketWatch,"The consumer, industrial and healthcare-products company reported first-quarter profit and revenue that beat expectations.",https://www.marketwatch.com/story/3ms-stock-surges-toward-a-14-month-high-after-profit-sales-beat-expectations-78b0c72e
top news,2024-04-30 13:45:01,People told this startup founder she was making a huge mistake—then she sold her company for $845 million,7362383,https://image.cnbcfm.com/api/v1/image/107406586-1714073640174-gettyimages-1138957764-kam_7405_2019032853416402.jpeg?v=1714073669&w=1920&h=1080,,CNBC,Drunk Elephant founder Tiffany Masterson says one of her early business decisions drew intense criticism from family and friends. Here's why she stuck with it.,https://www.cnbc.com/2024/04/30/drunk-elephant-founder-tiffany-masterson-when-to-trust-your-gut.html
top news,2024-04-30 13:44:00,Molson Coors profit nearly triples and beats analysts’ estimate,7362382,,,MarketWatch,Beer maker cites strong volume in the Americas,https://www.marketwatch.com/story/molson-coors-profit-nearly-triples-and-beats-analysts-estimate-eca4965e
top news,2024-04-30 13:38:00,Oil prices consolidate after slumping on Israel-Hamas cease-fire talks,7362361,,,MarketWatch,Oil futures edged higher early Tuesday.,https://www.marketwatch.com/story/oil-prices-consolidate-after-slumping-on-israel-hamas-cease-fire-talks-dc453da4
top news,2024-04-30 13:33:00,PayPal boosts its earnings forecast as cost savings are paying off,7362362,,,MarketWatch,"PayPal’s earnings look a bit different this time around, but they still reflect the company’s efforts to cut costs from its business.",https://www.marketwatch.com/story/paypal-boosts-its-earnings-forecast-as-cost-savings-are-paying-off-23402710
top news,2024-04-30 13:30:00,My wife and I have argued about a lot of things in our 34 years of marriage — but never about money,7362363,,,MarketWatch,Having separate bank accounts goes against the idea of thinking for two rather than as individuals.,https://www.marketwatch.com/story/my-wife-and-i-have-argued-about-a-lot-of-things-in-our-34-years-of-marriage-but-never-about-money-c6327944
top news,2024-04-30 13:30:00,‘Sell in May and go away?’ This year the calendar ‘trick’ overlaps with a Biden-Trump rematch.,7362364,,,MarketWatch,The ‘winter months’ have been especially good to the stock market this year. Is it time to pull the plug?,https://www.marketwatch.com/story/sell-in-may-and-go-away-this-year-the-calendar-trick-overlaps-with-a-biden-trump-rematch-2fb97dbe
top news,2024-04-30 13:16:00,"‘I live in a slum’: My ex-husband knocked down, then rebuilt my home and left it in foreclosure. Now he refuses to pay alimony.",7362359,,,MarketWatch,“He woke one morning and announced he was done.”,https://www.marketwatch.com/story/i-live-in-a-slum-my-ex-husband-knocked-down-then-rebuilt-my-home-and-left-it-in-foreclosure-now-he-refuses-to-pay-alimony-dd18b330
top news,2024-04-30 13:11:00,GE HealthCare Technologies’ stock falls after it misses profit estimate,7362346,,,MarketWatch,Revenue falls 1% as ultrasound and patient care units business drops,https://www.marketwatch.com/story/ge-healthcare-technologies-stock-falls-after-it-misses-profit-estimate-1df9d030
top news,2024-04-30 13:05:00,Americans are down on the economy — but there are good reasons to be optimistic,7362347,,,MarketWatch,Biden unfairly gets poor marks for handling of the U.S. economy — which is improving.,https://www.marketwatch.com/story/americans-are-down-on-the-economy-but-there-are-good-reasons-to-be-optimistic-2900f13b
top news,2024-04-30 12:42:04,'An intense five years': Read HSBC CEO Noel Quinn's surprise resignation statement,7362336,https://image.cnbcfm.com/api/v1/image/107407991-1714471860028-gettyimages-2139242382-HK_HSBC_SUMMIT.jpeg?v=1714471871&w=1920&h=1080,,CNBC,"HSBC CEO Noel Quinn said it is ""now the right time for me to get a better balance between my personal and business life.""",https://www.cnbc.com/2024/04/30/read-hsbc-ceo-noel-quinns-surprise-resignation-statement.html
top news,2024-04-30 12:27:00,"Why T-bill and chill is here to stay, these strategists say",7362330,,,MarketWatch,Barclays analysts say rising budget deficits change several key assumptions underpinning the fixed-income market.,https://www.marketwatch.com/story/why-t-bill-and-chill-is-here-to-stay-these-strategists-say-484d5c9f
top news,2024-04-30 12:23:00,"Europe’s automakers off to a weak start for 2024, with EV sales a problem for some",7362331,,,MarketWatch,"Mercedes-Benz, Volkwagen and Stellantis shares all fell Tuesday after the Europe automakers showed 2024 was off to a slow start.",https://www.marketwatch.com/story/europes-automakers-off-to-a-weak-start-for-2024-with-ev-sales-a-problem-for-some-d1440d25
top news,2024-04-30 12:00:00,Cats vs. dogs: Today’s economy is tipping the scales in the great debate over which pet is better,7362319,,,MarketWatch,"Four years after “pandemic pets” offered lockdown companionship and drained shelters of cats and dogs, data suggest that more economical cats are gaining on dogs.",https://www.marketwatch.com/story/cats-vs-dogs-todays-economy-is-tipping-the-scales-in-the-great-debate-over-which-pet-is-better-1e275bb4
top news,2024-04-30 11:46:00,"As India heads to the polls, investors are looking to profit from Modi’s policies",7362317,,,MarketWatch,Narendra Modi’s government has invested heavily in public infrastructure via polices that have boosted India’s growth,https://www.marketwatch.com/story/as-india-heads-to-the-polls-investors-are-looking-to-profit-from-modis-policies-cbbf84cf
top news,2024-04-30 11:04:00,The 10 most expensive cars to maintain,7362299,,,MarketWatch,"Over 10 years, buying one car brand can cost you almost five times as much in maintenance fees as another.",https://www.marketwatch.com/story/the-10-most-expensive-cars-to-maintain-a898394c
top news,2024-04-30 11:02:00,"Check out Colin Kaepernick’s pristine Tribeca condo, listed for $3.45 million",7362300,,,MarketWatch,"The athlete and activist, formerly of the San Francisco 49ers, picked up the condo in 2017.",https://www.marketwatch.com/story/check-out-colin-kaepernicks-pristine-tribeca-condo-listed-for-3-45-million-c191a00c
top news,2024-04-30 11:01:00,"Battery replacement is rare for electrified cars, study finds",7362301,,,MarketWatch,"Just 1.5% of electric vehicles and plug-in hybrid vehicles have needed their batteries replaced since 2011, according to a new study.",https://www.marketwatch.com/story/battery-replacement-is-rare-for-electrified-cars-study-finds-ef086d2c
top news,2024-04-30 10:39:00,Treasury yields little changed as Fed policy update looms,7362293,,,MarketWatch,"Bond yields were steady early Tuesday, holding near multi-month highs on expectations the Fed will confirm its keeping interest rates higher for longer.",https://www.marketwatch.com/story/treasury-yields-little-changed-as-fed-policy-update-looms-640dcb45
top news,2024-04-30 08:28:00,HSBC says chief executive to retire after ‘intense’ five years,7362253,,,MarketWatch,"HSBC on Tuesday said its chief executive, Noel Quinn, will retire after nearly five years at the helm.",https://www.marketwatch.com/story/hsbc-says-chief-executive-to-retire-after-intense-five-years-e41fabbe
top news,2024-04-30 08:00:00,Why global gold demand marked its best first quarter in 8 years,7362243,,,MarketWatch,"Gold demand marked its strongest first quarter in eight years, buoyed by “healthy investment” from the over-the-counter market as well as central bank purchases, which saw their best start to any year on record, according to a report from the World Gold Council released Tuesday.",https://www.marketwatch.com/story/why-global-gold-demand-marked-its-best-first-quarter-in-8-years-86c0f0df
top news,2024-04-30 03:59:00,China Vanke posts first-quarter loss amid slump in property sector,7362208,,,MarketWatch,China Vanke posted a first-quarter loss as earnings were weighed by the ongoing slump in China’s property sector.,https://www.marketwatch.com/story/china-vanke-posts-first-quarter-of-losses-amid-property-woes-31d01066
top news,2024-04-30 02:32:09,"Cramer's bullish on Alphabet after earnings, would buy on a pullback",7362313,https://image.cnbcfm.com/api/v1/image/107364674-1706212634485-gettyimages-1252095652-Alphabet_Google.jpeg?v=1714418271&w=1920&h=1080,,CNBC,"CNBC's Jim Cramer told investors he's pleased with Google parent Alphabet's most recent quarter, lauding the company's proof of profitability.",https://www.cnbc.com/2024/04/29/cramers-bullish-on-alphabet-after-earnings-would-buy-on-a-pullback.html
top news,2024-04-30 00:58:00,"Pfizer, Genmab get full FDA approval for cervical-cancer drug",7362189,,,MarketWatch,Pfizer and Genmab on Monday said they had received full approval from U.S. regulators for their treatment for certain forms of cervical cancer.,https://www.marketwatch.com/story/pfizer-genmab-get-full-fda-approval-for-cervical-cancer-drug-ba47a70d
top news,2024-04-30 00:33:14,Cramer says Apple's Monday rally doesn't have 'staying power' after analyst upgrade,7362185,https://image.cnbcfm.com/api/v1/image/106022227-1563303156764img_1057r.jpg?v=1698446810&w=1920&h=1080,,CNBC,CNBC's Jim Cramer told investors he's wary of Apple's Monday rally and they should wait to buy.,https://www.cnbc.com/2024/04/29/cramer-says-apples-monday-rally-doesnt-have-staying-power-.html
business,2024-04-30 00:22:04,"Judge rejects J&J, Bristol Myers Squibb challenges to Medicare drug price negotiations",7362184,https://image.cnbcfm.com/api/v1/image/107398685-1712674574391-gettyimages-1593997320-raa-johnsonj230812_npA3P.jpeg?v=1714427697&w=1920&h=1080,,CNBC,The decision is another win for the Biden administration in a bitter legal fight with several drugmakers over the constitutionality of the price talks.,https://www.cnbc.com/2024/04/29/jj-bristol-myers-squibb-lose-medicare-drug-price-talks-challenges.html
top news,2024-04-30 00:12:00,Peacock raising prices by $2 a month ahead of Summer Olympics,7362183,,,MarketWatch,"Peacock is raising prices again, a year after its last price hike and just in time for the Summer Olympics.",https://www.marketwatch.com/story/peacock-raising-prices-by-2-a-month-ahead-of-summer-olympics-b8a37dbc
top news,2024-04-29 23:08:00,AT&T’s stock is misunderstood. Here are five reasons Barclays says it can soar.,7362165,,,MarketWatch,"AT&T’s decisions in recent years look better than those made by rivals, according to Barclays.",https://www.marketwatch.com/story/at-ts-stock-is-misunderstood-here-are-five-reasons-barclays-says-it-can-soar-41c110ac
top news,2024-04-29 23:06:00,"Coursera, Chegg stocks fall after weaker guidance for both edtech companies",7362166,,,MarketWatch,"Shares of Coursera Inc. and Chegg Inc. fell in the after-hours session Monday after both education-tech companies guided for weaker current quarters, and Chegg also announced a CEO change.",https://www.marketwatch.com/story/coursera-chegg-stocks-fall-after-weaker-guidance-for-both-edtech-companies-a77adfe2
top news,2024-04-29 23:04:00,"Paramount’s Bakish is stepping down, and new CEO office aims to ‘materially streamline operations’",7362167,,,MarketWatch,Media and entertainment giant Paramount Global on Monday said that Chief Executive Bob Bakish was stepping down and would be replaced by a three-person office intended to help “materially streamline operations.”,https://www.marketwatch.com/story/paramounts-bakish-is-stepping-down-and-new-ceo-office-aims-to-materially-streamline-operations-18c641af
top news,2024-04-29 22:44:00,AMD’s AI story has lost some shine. Can earnings brighten the picture?,7362163,,,MarketWatch,"The past few months haven’t been so easy on the Nvidia Corp. wannabes, and AMD will look to reset that narrative when it reports earnings Tuesday afternoon.",https://www.marketwatch.com/story/amds-ai-story-has-lost-some-shine-can-earnings-brighten-the-picture-8c5895c3
top news,2024-04-29 22:24:00,"Guns, transgender rights, mail-in voting: The political issues Trump and Biden voters care about most when deciding where to live",7362148,,,MarketWatch,It’s not just about good schools and affordable homes — voters this election year say they are considering hot-button issues including abortion rights and gun control when deciding where they want to live.,https://www.marketwatch.com/story/guns-transgender-rights-mail-in-voting-the-political-issues-trump-and-biden-voters-care-about-most-when-deciding-where-to-live-29fe725f
top news,2024-04-29 22:14:09,A longtime Apple skeptic warms up to the stock. Why we're not cheering the call just yet,7362153,https://image.cnbcfm.com/api/v1/image/107375512-1708434169349-gettyimages-2016313296-cfoto-theeurop240220_npnYU.jpeg?v=1714404969&w=1920&h=1080,,CNBC,Apple shares jumped Monday after an analyst who has been on the sidelines for years upgraded the stock to a buy-equivalent rating.,https://www.cnbc.com/2024/04/29/longtime-apple-skeptic-warms-up-to-stock-why-were-not-cheering-the-call-yet.html
top news,2024-04-29 22:02:00,"The battle between athleisure and wider-leg pants is here. That means more trouble for Lululemon, analyst says.",7362137,,,MarketWatch,"After the skinny jean’s nearly two-decade reign, retailers and clothing makers say looser fits are getting more popular.",https://www.marketwatch.com/story/the-battle-between-athleisure-and-wider-leg-pants-is-here-that-means-more-trouble-for-lululemon-analyst-says-107abe39
top news,2024-04-29 21:16:00,Boeing scores $10 billion bond financing in ‘much-needed’ liquidity boost,7362124,,,MarketWatch,"Fresh off reporting a more than $300 million quarterly loss, Boeing Co. saw robust demand on Monday for its $10 billion corporate-bond deal.",https://www.marketwatch.com/story/boeing-scores-10-billion-bond-financing-in-much-needed-liquidity-boost-9df60ae0
top news,2024-04-29 21:01:00,AMC’s stock on pace for biggest decline in a month after preliminary first-quarter results,7362118,,,MarketWatch,"Shares of AMC Entertainment Holdings Inc. are down 11.6% Monday, putting the stock on pace for its biggest decline since April 1, when it fell 15.6%.",https://www.marketwatch.com/story/amcs-stock-on-pace-for-biggest-decline-in-a-month-after-preliminary-first-quarter-results-6f2f98e0
top news,2024-04-29 21:00:00,Treasury Department raises its second-quarter borrowing estimate,7362119,,,MarketWatch,"The Treasury Department said Monday it expects to borrow $243 billion in the second quarter, which is $41 billion higher than previously estimated.",https://www.marketwatch.com/story/treasury-raises-its-second-quarter-borrowing-estimate-2f47feda
top news,2024-04-29 20:59:00,"Trump Media’s fight turns to legal short selling, as ‘DJT’ shares rise again",7362120,,,MarketWatch,"Shares of Trump Media and Technology Group Corp. rallied again Monday, and have now more than doubled over roughly two weeks, after the latest assault by the parent of Donald Trump’s social-media platform Truth Social against short selling — this time of the legal variety.",https://www.marketwatch.com/story/trump-medias-fight-turns-to-legal-short-selling-as-djt-shares-rise-again-28cd82ee
top news,2024-04-29 20:53:00,"Strong U.S. dollar could weigh on the global economy. Here’s why that hasn’t happened yet, according to Capital Economics.",7362115,,,MarketWatch,"The surging U.S. dollar is once again sending shivers through global financial markets, but the consequences of a strong greenback could be exaggerated, according to Capital Economics.",https://www.marketwatch.com/story/strong-u-s-dollar-could-weigh-on-the-global-economy-heres-why-that-hasnt-happened-yet-according-to-capital-economics-653b30f6
top news,2024-04-29 20:35:00,Ford’s ‘hands-free’ driver-assistance system under investigation,7362113,,,MarketWatch,"U.S. highway-safety regulators have opened an investigation into two accidents allegedly involving Ford Motor Co.’s BlueCruise advanced driver-assistance features, in which two Mustang Mach-Es collided with stationary vehicles in incidents that left three people dead.",https://www.marketwatch.com/story/fords-hands-free-driver-assistance-system-under-investigation-6d6926b9
top news,2024-04-29 20:33:02,Two 2024 tech laggards are driving the stock market higher Monday — here's why,7362140,https://image.cnbcfm.com/api/v1/image/107392021-1711354370534-gettyimages-2100351730-AFP_34M76UW.jpeg?v=1711354455&w=1920&h=1080,,CNBC,"Every weekday, the Investing Club releases the Homestretch; an actionable afternoon update just in time for the last hour of trading.",https://www.cnbc.com/2024/04/29/two-2024-tech-laggards-are-driving-the-market-up-monday-heres-why.html
top news,2024-04-29 19:35:00,What you don’t know will hurt your portfolio,7362104,,,MarketWatch,The depressing state of knowledge about retirement planning,https://www.marketwatch.com/story/what-you-dont-know-will-hurt-your-portfolio-b41e3392
top news,2024-04-29 19:01:00,Would combining will-writing with the mortgage process help?,7362097,,,MarketWatch,"No, but here’s what we learned",https://www.marketwatch.com/story/would-combining-will-writing-with-the-mortgage-process-help-95f93366
top news,2024-04-29 19:01:00,"After being neutral on Apple’s stock since 2018, here’s why one analyst changed his tune",7362098,,,MarketWatch,"An analyst who had spent more than six years on the sidelines on Apple Inc.’s stock just changed his tune, joining the bull camp in a note titled “Buy the fear.”",https://www.marketwatch.com/story/after-being-neutral-on-apples-stock-since-2018-heres-why-one-analyst-changed-his-tune-a2a67732
top news,2024-04-29 18:38:00,War of words over Norfolk Southern’s board battle intensifies as railroad slams activist Ancora’s labor negotiation,7362088,,,MarketWatch,The war of words in the board battle between Norfolk Southern Corp. and Ancora Holdings Group intensified Monday after the activist investor clinched the support of the Brotherhood of Locomotive Engineers and Trainmen Division of the International Brotherhood of Teamsters.,https://www.marketwatch.com/story/war-of-words-over-norfolk-southerns-board-battle-intensifies-as-railroad-slams-activist-ancoras-labor-negotiation-32fed28e
